Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Distance-Competitive-Selfless,Balanced-Cooperative-Selfless,Time-Cooperative-Selfless,Balanced-Competitive-Selfless,Time-Competitive-Selfless
1,2022-04-12 08:48:17.601238,Balanced-Competitive-Selfless,0.1608910159185192,0.1498227678781628,0.15149534155183564,0.15284755496035132,0.14652337294394657,0.1608910159185192,0.15273818978968218
2,2022-04-12 08:48:47.936054,Balanced-Competitive-Selfless,0.1768425387363185,0.17012665340870609,0.17057570359196866,0.16310954433566888,0.16240697512270744,0.1768425387363185,0.1674507269961844
3,2022-04-12 08:49:18.335397,Balanced-Competitive-Selfless,0.19272513755428847,0.1883212763133066,0.1797054733966522,0.1914487993897094,0.18739552596785602,0.19272513755428847,0.17937702074901338
4,2022-04-12 08:49:48.741375,Balanced-Cooperative-Selfless,0.2063925392567181,0.19840352185051108,0.18562570982373133,0.2063925392567181,0.1991191543173588,0.1996856256621199,0.1848533770926479
5,2022-04-12 08:50:19.164010,Distance-Cooperative-Selfless,0.21939625991660738,0.21939625991660738,0.19923353040010394,0.21876222911127194,0.21804762631369587,0.20611811245877956,0.18619978678966118
6,2022-04-12 08:50:49.637337,Balanced-Cooperative-Selfless,0.2344929946735453,0.22216596595101434,0.20741025905383254,0.2344929946735453,0.22822983643935366,0.21465684223724457,0.19202130099689219
7,2022-04-12 08:51:20.050994,Time-Cooperative-Selfless,0.25108142606088335,0.24192381290221956,0.21692585422295857,0.24228361897041753,0.25108142606088335,0.2282693313660898,0.21545426804081577
8,2022-04-12 08:51:50.431571,Distance-Cooperative-Selfless,0.2643114254794094,0.2643114254794094,0.22970537362745372,0.2618741884151455,0.2635673583915115,0.2370780266712249,0.21640921747551176
9,2022-04-12 08:52:20.950340,Distance-Cooperative-Selfless,0.2742145420091631,0.2742145420091631,0.2419873051428505,0.26955037339016025,0.2662873229988296,0.24079707227711125,0.21749713973709395
10,2022-04-12 08:52:51.329458,Distance-Cooperative-Selfless,0.2765393336616835,0.2765393336616835,0.2589297542679269,0.2742145420091631,0.27562137188925856,0.24086131501119623,0.21799264851343297
11,2022-04-12 08:53:21.715055,Time-Cooperative-Selfless,0.28011227675624734,0.2800579150437245,0.27563784382588435,0.2765393336616835,0.28011227675624734,0.24417057067058393,0.22665056707709758
12,2022-04-12 08:53:52.160441,Balanced-Cooperative-Selfless,0.2858045187950529,0.28092512876890047,0.2779483770075626,0.2858045187950529,0.28011227675624734,0.24482090078321844,0.2325594522405688
13,2022-04-12 08:54:22.597872,Balanced-Cooperative-Selfless,0.2965257103049363,0.296243405294418,0.28260575363954915,0.2965257103049363,0.2858045187950529,0.25095907064902456,0.2428680304823323
14,2022-04-12 08:54:53.095494,Balanced-Cooperative-Selfless,0.3074682068987844,0.30422228780603927,0.2890609153839807,0.3074682068987844,0.29703306999082224,0.257083397512265,0.24403321965344293
15,2022-04-12 08:55:23.590925,Balanced-Cooperative-Selfless,0.312618323715947,0.3074682068987844,0.2907788744527681,0.312618323715947,0.3074682068987844,0.2622413118539356,0.24403321965344293
16,2022-04-12 08:55:54.045270,Distance-Cooperative-Selfless,0.32207235233310244,0.32207235233310244,0.2921276622232916,0.3216660652151802,0.312618323715947,0.26758442305301755,0.24908194642869716
17,2022-04-12 08:56:24.494011,Balanced-Cooperative-Selfless,0.32738804329358623,0.3267482583099865,0.29227467101161103,0.32738804329358623,0.3244573927453946,0.27298446010661576,0.2502781180757965
18,2022-04-12 08:56:54.885144,Balanced-Cooperative-Selfless,0.3289779026248821,0.32664756123462063,0.3017787207692443,0.3289779026248821,0.3278253854063728,0.27298446010661576,0.2520351247529132
19,2022-04-12 08:57:25.386873,Distance-Cooperative-Selfless,0.3365537531625034,0.3365537531625034,0.3052404920681612,0.33239646855742977,0.3289779026248821,0.27298446010661576,0.2527627584462227
20,2022-04-12 08:57:55.886067,Distance-Cooperative-Selfless,0.34560072858502144,0.34560072858502144,0.3101126022230604,0.3365537531625034,0.3365537531625034,0.27804151235210933,0.2582040239073639
21,2022-04-12 08:58:26.450129,Distance-Cooperative-Selfless,0.3484825711812523,0.3484825711812523,0.31024401337505425,0.34560072858502144,0.34647752238510066,0.2780648395212517,0.2659248677977252
22,2022-04-12 08:58:56.975716,Distance-Cooperative-Selfless,0.3484825711812523,0.3484825711812523,0.3116982892837694,0.3484825711812523,0.34780873433153975,0.2849599549786085,0.26635639970680597
23,2022-04-12 08:59:27.548709,Distance-Cooperative-Selfless,0.352036246192948,0.352036246192948,0.3116982892837694,0.3499807747120064,0.3514846200637639,0.28764522372249574,0.2750379710147606
24,2022-04-12 08:59:58.078506,Time-Cooperative-Selfless,0.3585981695225675,0.352036246192948,0.31334883831344607,0.353565228622843,0.3585981695225675,0.28764522372249574,0.275915738845943
25,2022-04-12 09:00:28.543626,Time-Cooperative-Selfless,0.3627654647434296,0.3579640959588007,0.31334883831344607,0.3586832571599297,0.3627654647434296,0.29103983419614493,0.27710369358978987
26,2022-04-12 09:00:59.069297,Distance-Cooperative-Selfless,0.366796725139555,0.366796725139555,0.31334883831344607,0.3627654647434296,0.3655789045059127,0.29252282497536364,0.2815680506717684
27,2022-04-12 09:01:29.545682,Distance-Cooperative-Selfless,0.374966342719887,0.374966342719887,0.31334883831344607,0.3719400945786972,0.3713402069124272,0.29252282497536364,0.28458114351298947
28,2022-04-12 09:02:00.024268,Distance-Cooperative-Selfless,0.3817902540500181,0.3817902540500181,0.31334883831344607,0.38014824311999734,0.3713402069124272,0.30106994113893687,0.290641328739678
29,2022-04-12 09:02:30.572581,Balanced-Cooperative-Selfless,0.38758201902700357,0.3847516039253324,0.31334883831344607,0.38758201902700357,0.38600915903098965,0.30106994113893687,0.290641328739678
30,2022-04-12 09:03:01.122888,Time-Cooperative-Selfless,0.3937803294466729,0.3924192739869638,0.3165498508392249,0.3913396178213858,0.3937803294466729,0.30106994113893687,0.28944718197725766
31,2022-04-12 09:03:31.623435,Distance-Cooperative-Selfless,0.4073506260311688,0.4073506260311688,0.3147668122302432,0.3937803294466729,0.3937803294466729,0.3022500193181903,0.29082908335259955
32,2022-04-12 09:04:02.124328,Distance-Cooperative-Selfless,0.41303754281816835,0.41303754281816835,0.32160869522532903,0.4073506260311688,0.4073506260311688,0.3083159625838997,0.29286936716967243
33,2022-04-12 09:04:32.707355,Distance-Cooperative-Selfless,0.41303754281816835,0.41303754281816835,0.3282635809757671,0.41303754281816835,0.41303754281816835,0.3083159625838997,0.2929178756594238
34,2022-04-12 09:05:03.146703,Balanced-Cooperative-Selfless,0.42626785319419686,0.41834364309188987,0.3360923727439241,0.42626785319419686,0.41303754281816835,0.3083159625838997,0.29468857757789785
35,2022-04-12 09:05:33.653777,Balanced-Cooperative-Selfless,0.42626785319419686,0.4164359163563341,0.3399711947317468,0.42626785319419686,0.42626785319419686,0.3122186690397878,0.2929178756594238
36,2022-04-12 09:06:04.305647,Time-Cooperative-Selfless,0.42703394861431193,0.41846860228679394,0.3399711947317468,0.42626785319419686,0.42703394861431193,0.3145905851555142,0.294591839782135
37,2022-04-12 09:06:34.818953,Balanced-Cooperative-Selfless,0.42703394861431193,0.4229325411131223,0.3440531071355898,0.42703394861431193,0.42703394861431193,0.32110478022636335,0.294591839782135
