Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Competitive-Selfish,Distance-Cooperative-Selfish,Balanced-Cooperative-Selfish,Time-Competitive-Selfish,Time-Cooperative-Selfish,Balanced-Competitive-Selfish
1,2022-04-24 15:52:59.344901,Distance-Competitive-Selfish,0.15129840955959395,0.15129840955959395,0.15114528072988442,0.15083939700242727,0.1495712688200434,0.14946013159571916,0.14608440054314478
2,2022-04-24 15:53:29.870060,Balanced-Cooperative-Selfish,0.17358016087582293,0.16409251212786788,0.16311371124709267,0.17358016087582293,0.16212523097102297,0.17011703601866424,0.1662025310832669
3,2022-04-24 15:54:00.425639,Distance-Competitive-Selfish,0.18987433558091285,0.18987433558091285,0.18389335013618788,0.18932827059944693,0.17342959405843472,0.18755498987668082,0.18149542480424727
4,2022-04-24 15:54:30.850179,Balanced-Cooperative-Selfish,0.2005242867913215,0.19662675027176496,0.18987433558091285,0.2005242867913215,0.18073389969444278,0.1903428490213279,0.19617975904755877
5,2022-04-24 15:55:01.376703,Balanced-Cooperative-Selfish,0.22211723752758256,0.20872548379815703,0.2003453313215492,0.22211723752758256,0.18538527809388716,0.20217907486063708,0.2027673280154338
6,2022-04-24 15:55:31.677019,Balanced-Cooperative-Selfish,0.23086709845169368,0.21599514906281733,0.22145224793516027,0.23086709845169368,0.18538527809388716,0.22072233576579886,0.2142065582057731
7,2022-04-24 15:56:02.109056,Balanced-Cooperative-Selfish,0.2436866258431707,0.23246689705225043,0.2373185096751926,0.2436866258431707,0.1925382524686642,0.23784959935046202,0.22342780874126814
8,2022-04-24 15:56:32.452113,Balanced-Cooperative-Selfish,0.25960493553648617,0.2408469962315404,0.24982366717840454,0.25960493553648617,0.19669106335461956,0.24527660449056093,0.24479413385556847
9,2022-04-24 15:57:02.915448,Balanced-Cooperative-Selfish,0.2718897094741504,0.2486346174124398,0.26623503126330433,0.2718897094741504,0.20179700837594544,0.2670884302347063,0.2541142047731177
10,2022-04-24 15:57:33.403513,Distance-Cooperative-Selfish,0.28751215192824403,0.25490100824818235,0.28751215192824403,0.27950876974507344,0.21010578094441815,0.2718897094741504,0.2619021594002362
11,2022-04-24 15:58:03.821970,Distance-Cooperative-Selfish,0.2979320177120197,0.25490100824818235,0.2979320177120197,0.29151488467812053,0.22077083535409583,0.29198542526891413,0.27588035155495866
12,2022-04-24 15:58:34.388284,Distance-Cooperative-Selfish,0.31941580139152664,0.2575177310415787,0.31941580139152664,0.30523148762388036,0.23399342399375403,0.2999204056212283,0.27911045152633424
13,2022-04-24 15:59:04.876097,Distance-Cooperative-Selfish,0.34464402393196425,0.2709241716208318,0.34464402393196425,0.31941580139152664,0.23502524442516867,0.31941580139152664,0.2834011870046879
14,2022-04-24 15:59:35.300368,Time-Cooperative-Selfish,0.35191602879321965,0.28166098507697523,0.351861193542257,0.34768008015832863,0.24009933267635783,0.35191602879321965,0.2834011870046879
15,2022-04-24 16:00:05.778407,Balanced-Cooperative-Selfish,0.35984663335417694,0.2830657345699711,0.3507923001247575,0.35984663335417694,0.252598130008283,0.3477882332821888,0.2834011870046879
16,2022-04-24 16:00:36.266051,Balanced-Cooperative-Selfish,0.3757214072827728,0.2950223052469149,0.36301211849354326,0.3757214072827728,0.25944636275651595,0.35984663335417694,0.2834011870046879
17,2022-04-24 16:01:06.779183,Balanced-Cooperative-Selfish,0.38196753996644406,0.3004285416297384,0.38052421663928215,0.38196753996644406,0.25944636275651595,0.3735999208085347,0.290237415105694
18,2022-04-24 16:01:37.489793,Balanced-Cooperative-Selfish,0.38251070984900654,0.30285490141505544,0.3788063740157593,0.38251070984900654,0.25944636275651595,0.3761991300239554,0.29744635325825847
19,2022-04-24 16:02:07.846516,Balanced-Cooperative-Selfish,0.3834470535308044,0.30285490141505544,0.38196753996644406,0.3834470535308044,0.25944636275651595,0.380376866462695,0.299142131597131
20,2022-04-24 16:02:38.455987,Balanced-Cooperative-Selfish,0.385544667738828,0.30962981115104543,0.3826521756360321,0.385544667738828,0.2624477632224188,0.37256163053692104,0.30069619011315957
21,2022-04-24 16:03:09.033702,Balanced-Cooperative-Selfish,0.38905728298834125,0.3025498047973896,0.385544667738828,0.38905728298834125,0.266618751307459,0.3818140490897586,0.30069619011315957
22,2022-04-24 16:03:39.647382,Balanced-Cooperative-Selfish,0.3898277412070058,0.32745487960784053,0.38905728298834125,0.3898277412070058,0.2684322728544625,0.3863675083475485,0.30122148374889823
23,2022-04-24 16:04:10.096097,Distance-Cooperative-Selfish,0.391087842446711,0.33808699290624666,0.391087842446711,0.38997273142859673,0.2684322728544625,0.38798604556759225,0.30229766947137227
24,2022-04-24 16:04:40.577950,Balanced-Cooperative-Selfish,0.3934496771525844,0.33808699290624666,0.391087842446711,0.3934496771525844,0.2715466890662574,0.39306622866407204,0.3048145244849299
25,2022-04-24 16:05:11.057373,Time-Cooperative-Selfish,0.39683966000894383,0.3499935991843291,0.39243685306408377,0.39548498632874235,0.2751974884663896,0.39683966000894383,0.3061377360829135
26,2022-04-24 16:05:41.548699,Time-Cooperative-Selfish,0.40342662128251444,0.35349790642248013,0.3925338900191896,0.39724690066601936,0.2751974884663896,0.40342662128251444,0.30831676734143687
