Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Competitive-Selfless,Time-Competitive-Selfish,Time-Competitive-Selfless,Balanced-Competitive-Selfless,Distance-Competitive-Selfish,Balanced-Competitive-Selfish
1,2022-04-24 15:22:14.092396,Balanced-Competitive-Selfless,0.1571461483963975,0.15329140032689514,0.14878121851432158,0.15334517586560867,0.1571461483963975,0.15199914489536848,0.14536874406558511
2,2022-04-24 15:22:44.614305,Balanced-Competitive-Selfless,0.1737441959702675,0.17159187400076525,0.17087696436552097,0.16456228432928574,0.1737441959702675,0.16691764062394263,0.1578452214436655
3,2022-04-24 15:23:15.133862,Distance-Competitive-Selfless,0.18954770438512888,0.18954770438512888,0.18085288264640048,0.18588461153600513,0.1854957075563842,0.18072043925067985,0.1767953744292872
4,2022-04-24 15:23:45.684349,Distance-Competitive-Selfless,0.20169883527807161,0.20169883527807161,0.1873916269720234,0.19656314977666867,0.19499443646130207,0.1950664416443338,0.19690528769352364
5,2022-04-24 15:24:16.137673,Distance-Competitive-Selfless,0.22010291199898668,0.22010291199898668,0.19687268224766816,0.20832829744388595,0.20524857954448464,0.1998403434339006,0.19914791801717574
6,2022-04-24 15:24:46.606383,Distance-Competitive-Selfless,0.22952582429946297,0.22952582429946297,0.2025739527259884,0.22029158359635154,0.21519273658963517,0.22045396126916852,0.2069356154264772
7,2022-04-24 15:25:17.031285,Distance-Competitive-Selfless,0.2406276789096956,0.2406276789096956,0.21733513178224545,0.22915906372373496,0.21878587379715175,0.23024981471406072,0.21650579810991988
8,2022-04-24 15:25:47.543276,Distance-Competitive-Selfless,0.2441058538702829,0.2441058538702829,0.22321839109855832,0.23846616191685024,0.2219993619303092,0.23457874159760853,0.22507922761834062
9,2022-04-24 15:26:18.020464,Distance-Competitive-Selfless,0.2529342715903512,0.2529342715903512,0.22634031183676123,0.24788732301559185,0.23197581032041298,0.23903573991276858,0.23075477163344335
10,2022-04-24 15:26:48.470837,Distance-Competitive-Selfless,0.2573057562211592,0.2573057562211592,0.2287144393009057,0.25299390918384307,0.2483144650867949,0.2524881306959234,0.23624581446235446
11,2022-04-24 15:27:18.909825,Distance-Competitive-Selfless,0.2673664136637824,0.2673664136637824,0.23167952773662118,0.25511151622539907,0.2598597764484884,0.25682004814621134,0.24331941258928627
12,2022-04-24 15:27:49.428940,Distance-Competitive-Selfless,0.27744576681187555,0.27744576681187555,0.2324140178856944,0.2598739371752203,0.2750657686096737,0.2744176212794848,0.24723533655498833
13,2022-04-24 15:28:19.883403,Balanced-Competitive-Selfless,0.2819321698632899,0.2808257313115406,0.2324140178856944,0.2627806086114344,0.2819321698632899,0.27883545986353425,0.25326406445559224
14,2022-04-24 15:28:50.442648,Balanced-Competitive-Selfless,0.2908375886789734,0.2848643450028645,0.23226881429247484,0.27045135856531544,0.2908375886789734,0.28048980914538296,0.26546249716496656
15,2022-04-24 15:29:20.929899,Distance-Competitive-Selfless,0.2953512398939392,0.2953512398939392,0.23226881429247484,0.2745658041037563,0.29507868252656766,0.2923550623640366,0.269853225209344
16,2022-04-24 15:29:51.376474,Distance-Competitive-Selfless,0.3037967661397568,0.3037967661397568,0.23226881429247484,0.2758411405325856,0.3013913380879565,0.300343991893909,0.27492362086898936
17,2022-04-24 15:30:21.834308,Distance-Competitive-Selfless,0.31328130606679094,0.31328130606679094,0.23275671752930488,0.27524815178087797,0.3013913380879565,0.300343991893909,0.28193739574446336
18,2022-04-24 15:30:52.259551,Distance-Competitive-Selfless,0.3080529938830288,0.3080529938830288,0.24429889621658574,0.27943427183041925,0.3013913380879565,0.30701423442700665,0.28388190682226866
19,2022-04-24 15:31:22.670826,Distance-Competitive-Selfless,0.3144316070612359,0.3144316070612359,0.25135063776391936,0.28908131379644647,0.3013913380879565,0.3108149570328392,0.29298115241691247
20,2022-04-24 15:31:53.095256,Distance-Competitive-Selfless,0.31920844691507877,0.31920844691507877,0.2560274536951448,0.28908131379644647,0.3013913380879565,0.3160097311054196,0.2937347193668103
