Round,Time,Best Solution Stakeholder,Best Solution Fitness,Balanced-Competitive-Selfish,Time-Cooperative-Selfish,Distance-Cooperative-Selfish,Balanced-Cooperative-Selfish,Time-Competitive-Selfish,Distance-Competitive-Selfish
1,2022-04-24 16:23:49.251506,Distance-Competitive-Selfish,0.15628894728829837,0.15151937866344461,0.14996507464134465,0.14624461958318602,0.14682449634145633,0.15133158790503382,0.15628894728829837
2,2022-04-24 16:24:19.708586,Distance-Competitive-Selfish,0.17448159026327473,0.16268316954446618,0.17097315563427717,0.16558361730332932,0.17061608522039995,0.17110418360684104,0.17448159026327473
3,2022-04-24 16:24:50.044492,Distance-Cooperative-Selfish,0.18587264001152218,0.17652392670765807,0.17569524751520862,0.18587264001152218,0.185261572312858,0.17468927162851197,0.18122632491706558
4,2022-04-24 16:25:20.612744,Balanced-Competitive-Selfish,0.20182382060832907,0.20182382060832907,0.19270436993071033,0.19349699391911707,0.19731419643931644,0.18317591457321583,0.20181591452641728
5,2022-04-24 16:25:51.094758,Balanced-Competitive-Selfish,0.2129698628348145,0.2129698628348145,0.20552352129689355,0.20871505771624838,0.21193591750141622,0.192127208047036,0.21176767119616893
6,2022-04-24 16:26:21.530728,Balanced-Cooperative-Selfish,0.2289407214895277,0.2213333668417435,0.21820510361764198,0.22258992742727202,0.2289407214895277,0.19959388718924084,0.22228298014714085
7,2022-04-24 16:26:52.006496,Balanced-Cooperative-Selfish,0.23530867735818498,0.22886638207573212,0.233874671095761,0.22744861795009244,0.23530867735818498,0.21158003611199205,0.23324431168589224
8,2022-04-24 16:27:22.440360,Balanced-Cooperative-Selfish,0.2451409009909425,0.23472014108021422,0.23933973575171283,0.23810614972064698,0.2451409009909425,0.21158003611199205,0.2348844382030729
9,2022-04-24 16:27:52.861866,Balanced-Cooperative-Selfish,0.2500489771666747,0.24814081731232512,0.2489522311582896,0.2451005109264133,0.2500489771666747,0.212826522973001,0.24351509080330583
10,2022-04-24 16:28:23.336299,Time-Cooperative-Selfish,0.26697932456066636,0.24557765013626365,0.26697932456066636,0.24814081731232512,0.261366116864313,0.2147418406230646,0.2518208582925563
11,2022-04-24 16:28:53.938564,Time-Cooperative-Selfish,0.2699813634890798,0.26364926814911793,0.2699813634890798,0.25977491774950734,0.26697932456066636,0.21409271337738434,0.2611618925297302
12,2022-04-24 16:29:24.325122,Distance-Cooperative-Selfish,0.2713625149211388,0.26855839925844877,0.26847224291522864,0.2713625149211388,0.2704597798193917,0.2205776930684433,0.26461179372319454
13,2022-04-24 16:29:54.827165,Balanced-Cooperative-Selfish,0.2799761487525392,0.27190955815209733,0.2692155209298689,0.27989772312078787,0.2799761487525392,0.22598452955585122,0.27063437029304804
14,2022-04-24 16:30:25.286470,Balanced-Cooperative-Selfish,0.2915575050198588,0.27365132640486,0.27242214278737603,0.28731755711366924,0.2915575050198588,0.23165588467460332,0.27346520982931877
15,2022-04-24 16:30:55.752418,Balanced-Cooperative-Selfish,0.29418063008153283,0.27365132640486,0.2915575050198588,0.2938272173754034,0.29418063008153283,0.2312217097236902,0.277095192248178
