Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Time-Competitive-Selfless,Time-Cooperative-Selfless,Balanced-Cooperative-Selfless,Balanced-Competitive-Selfless,Distance-Competitive-Selfless
1,2022-04-24 17:26:29.682729,Distance-Competitive-Selfless,0.15523983310367512,0.15148229678763986,0.14861200041375552,0.14677393007438327,0.14962838821703003,0.15108790866715935,0.15523983310367512
2,2022-04-24 17:27:00.032596,Distance-Competitive-Selfless,0.1893434696741898,0.1727864725261703,0.17151669710019365,0.16098431391797044,0.16664800187354828,0.17579569074814333,0.1893434696741898
3,2022-04-24 17:27:30.544925,Time-Cooperative-Selfless,0.20561146171031958,0.2001992766487706,0.1787661176582378,0.20561146171031958,0.20227916063070656,0.1782230761587372,0.20436931589521443
4,2022-04-24 17:28:01.099344,Distance-Cooperative-Selfless,0.21955912946647163,0.21955912946647163,0.18272109878624077,0.21295099033408596,0.2129543720841509,0.1869578991281354,0.21207046185050096
5,2022-04-24 17:28:31.629647,Distance-Cooperative-Selfless,0.2374047945477913,0.2374047945477913,0.1911099440903395,0.22253481212760154,0.22296141418049292,0.20312777872655177,0.22093421972095248
6,2022-04-24 17:29:02.170447,Time-Cooperative-Selfless,0.2558085651520517,0.24338603150096308,0.19323540639562126,0.2558085651520517,0.24506409827298756,0.213687699134854,0.23302959791997843
7,2022-04-24 17:29:32.705383,Distance-Cooperative-Selfless,0.26365288705202106,0.26365288705202106,0.19708640450470155,0.25965613968782786,0.2628179739053785,0.22704898485056269,0.23890842931881656
8,2022-04-24 17:30:03.230769,Time-Cooperative-Selfless,0.2695594780272306,0.2660718496533134,0.20054052174708725,0.2695594780272306,0.26630179211497934,0.23477736599289226,0.2539463415259949
9,2022-04-24 17:30:33.646803,Time-Cooperative-Selfless,0.27273249812511274,0.2704998629323465,0.2070836930183729,0.27273249812511274,0.27178046466966277,0.24834564102153,0.2662851483078022
10,2022-04-24 17:31:04.076756,Balanced-Cooperative-Selfless,0.277841212132104,0.2725730263361147,0.21086909300215653,0.27323941397770973,0.277841212132104,0.2572865177522096,0.27141366469751244
11,2022-04-24 17:31:34.777183,Balanced-Cooperative-Selfless,0.28885189117497917,0.28773333330599743,0.21142301072732866,0.27323941397770973,0.28885189117497917,0.26534483077179327,0.27626798093750204
12,2022-04-24 17:32:05.248012,Balanced-Cooperative-Selfless,0.29601651705522525,0.2958040257696604,0.21290893482560955,0.28885189117497917,0.29601651705522525,0.27566255163629216,0.2795499805842688
13,2022-04-24 17:32:35.829781,Distance-Cooperative-Selfless,0.31253465924313956,0.31253465924313956,0.21749905598985977,0.30882315992836684,0.30313462369221533,0.2764259737939963,0.2795499805842688
14,2022-04-24 17:33:06.302702,Balanced-Cooperative-Selfless,0.3343281333538508,0.3272764722631587,0.2194872373075118,0.3176924128530265,0.3343281333538508,0.2861698405191105,0.28353128549661033
15,2022-04-24 17:33:36.763246,Distance-Cooperative-Selfless,0.34419626644626633,0.34419626644626633,0.22692665619861532,0.3343281333538508,0.3407525865460633,0.28975221665917306,0.28353128549661033
16,2022-04-24 17:34:07.370946,Distance-Cooperative-Selfless,0.34890369089149914,0.34890369089149914,0.2301164817188832,0.34460756286358,0.34568729036296403,0.29219203440938346,0.28580565129485963
17,2022-04-24 17:34:37.851922,Distance-Cooperative-Selfless,0.35936683927260443,0.35936683927260443,0.2353925910824331,0.3458655337453207,0.3566434073381472,0.29922570114620317,0.2931287230179608
18,2022-04-24 17:35:08.427308,Time-Cooperative-Selfless,0.36298830216241096,0.3590667759133611,0.23900784635013267,0.36298830216241096,0.36298830216241096,0.3051590772541319,0.2967191369505774
19,2022-04-24 17:35:39.007840,Time-Cooperative-Selfless,0.3644126824981506,0.36298830216241096,0.23900784635013267,0.3644126824981506,0.36298830216241096,0.31085830370168044,0.3013784977977462
20,2022-04-24 17:36:09.371111,Balanced-Cooperative-Selfless,0.3664762043927817,0.3644126824981506,0.2456913154108569,0.3644126824981506,0.3664762043927817,0.31534372579751596,0.3032571456616443
21,2022-04-24 17:36:40.072409,Time-Cooperative-Selfless,0.3717056616966167,0.3664762043927817,0.2534099878363622,0.3717056616966167,0.36789941090969763,0.32638181338669986,0.30671758209035643
22,2022-04-24 17:37:10.532344,Time-Cooperative-Selfless,0.3739508160694783,0.37270437469401463,0.2534099878363622,0.3739508160694783,0.3722041100467195,0.32638181338669986,0.30906322539725967
23,2022-04-24 17:37:41.111708,Time-Cooperative-Selfless,0.37859572702667577,0.3749504400159512,0.2534099878363622,0.37859572702667577,0.3739508160694783,0.3303223496595386,0.3176176662705638
24,2022-04-24 17:38:11.662610,Time-Cooperative-Selfless,0.3813601475198395,0.3749504400159512,0.2534099878363622,0.3813601475198395,0.3793454025282049,0.33304362394296166,0.3241501828232019
25,2022-04-24 17:38:42.230458,Balanced-Cooperative-Selfless,0.3814317833951587,0.37450817584686047,0.25563198844821305,0.3813601475198395,0.3814317833951587,0.34125693346606506,0.3273364385682212
26,2022-04-24 17:39:12.885313,Balanced-Cooperative-Selfless,0.3814317833951587,0.3782119764852744,0.2606564582861024,0.3813601475198395,0.3814317833951587,0.34125693346606506,0.3332551004283273
27,2022-04-24 17:39:43.426561,Distance-Cooperative-Selfless,0.38223289252916776,0.38223289252916776,0.2644348253647348,0.3813601475198395,0.3814317833951587,0.34125693346606506,0.3389884755269209
28,2022-04-24 17:40:14.020901,Distance-Cooperative-Selfless,0.38223289252916776,0.38223289252916776,0.28174241619314044,0.3813601475198395,0.38223289252916776,0.34125693346606506,0.3415905984688393
29,2022-04-24 17:40:44.775090,Distance-Cooperative-Selfless,0.38893529884303657,0.38893529884303657,0.28834290032138893,0.38138777232040744,0.3845947781873324,0.34440165394483374,0.3415905984688393
30,2022-04-24 17:41:15.343993,Distance-Cooperative-Selfless,0.39054516246470394,0.39054516246470394,0.28834290032138893,0.38138777232040744,0.38893529884303657,0.34440165394483374,0.35458871068141806
31,2022-04-24 17:41:46.026055,Balanced-Cooperative-Selfless,0.3936090479599964,0.39251798927887316,0.28845380722605013,0.38492742437227057,0.3936090479599964,0.34440165394483374,0.35458871068141806
32,2022-04-24 17:42:16.724542,Balanced-Cooperative-Selfless,0.3956130298571034,0.39341958442457736,0.29011614729654756,0.3936090479599964,0.3956130298571034,0.34440165394483374,0.35458871068141806
33,2022-04-24 17:42:47.403007,Time-Cooperative-Selfless,0.3956130298571034,0.395465776576245,0.29147262501054033,0.3956130298571034,0.3956130298571034,0.345870399781574,0.35950259074344065
34,2022-04-24 17:43:17.902834,Distance-Cooperative-Selfless,0.3967812819388278,0.3967812819388278,0.2922738117722004,0.3956130298571034,0.3956130298571034,0.345870399781574,0.3692057073078594
35,2022-04-24 17:43:48.278115,Distance-Cooperative-Selfless,0.3967812819388278,0.3967812819388278,0.2994216524529036,0.3956130298571034,0.3967812819388278,0.3478141658932925,0.3692057073078594
36,2022-04-24 17:44:18.806160,Time-Cooperative-Selfless,0.40079520910609323,0.3967812819388278,0.2994216524529036,0.40079520910609323,0.3977131015207977,0.3478141658932925,0.3692057073078594
37,2022-04-24 17:44:49.477194,Balanced-Cooperative-Selfless,0.4045670320316362,0.4004313784439819,0.2994216524529036,0.40079520910609323,0.4045670320316362,0.3478141658932925,0.3745133902575453
38,2022-04-24 17:45:20.040150,Distance-Cooperative-Selfless,0.4145511217186996,0.4145511217186996,0.2994216524529036,0.40215260955813265,0.41101249171103427,0.35435069070093017,0.3745133902575453
39,2022-04-24 17:45:50.597978,Balanced-Cooperative-Selfless,0.414681422591329,0.4145511217186996,0.2994216524529036,0.4145511217186996,0.414681422591329,0.3546114424403896,0.3759359028365777
40,2022-04-24 17:46:21.285160,Balanced-Cooperative-Selfless,0.41699478298077425,0.41685808044562883,0.3007055518999414,0.414681422591329,0.41699478298077425,0.3546114424403896,0.3759359028365777
41,2022-04-24 17:46:51.967247,Distance-Cooperative-Selfless,0.4235791198556701,0.4235791198556701,0.3033076032475132,0.4200102832852285,0.41699478298077425,0.3546114424403896,0.3759359028365777
42,2022-04-24 17:47:22.646090,Time-Cooperative-Selfless,0.4270703748237421,0.4253464973947236,0.3033076032475132,0.4270703748237421,0.4235791198556701,0.3546114424403896,0.3759359028365777
43,2022-04-24 17:47:53.376708,Distance-Cooperative-Selfless,0.42889127936402427,0.42889127936402427,0.3081042094556389,0.4270703748237421,0.4270703748237421,0.3546114424403896,0.3759359028365777
44,2022-04-24 17:48:24.072035,Time-Cooperative-Selfless,0.43040783562594187,0.42889127936402427,0.3098748946203894,0.43040783562594187,0.42889127936402427,0.356438788537799,0.3759359028365777
45,2022-04-24 17:48:54.724845,Time-Cooperative-Selfless,0.4312753901578696,0.42889127936402427,0.31035313258003433,0.4312753901578696,0.43040783562594187,0.35708693221773846,0.3759359028365777
46,2022-04-24 17:49:25.313692,Time-Cooperative-Selfless,0.4312753901578696,0.42889127936402427,0.31035313258003433,0.4312753901578696,0.4312753901578696,0.35708693221773846,0.3759359028365777
47,2022-04-24 17:49:56.015121,Distance-Cooperative-Selfless,0.438298856290505,0.438298856290505,0.3142879656868088,0.43353180421199927,0.4312753901578696,0.35817986277616737,0.3759359028365777
48,2022-04-24 17:50:26.656583,Time-Cooperative-Selfless,0.43919854686129056,0.438298856290505,0.3142879656868088,0.43919854686129056,0.438298856290505,0.35817986277616737,0.3759359028365777
